Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"1",2.3086766038089976e-3,2.2778300080448385e-3,2.3867443833500146e-3,2.3441270405609926e-4,1.0910459541814357e-4,4.757010417558153e-4
"2",4.345338525064289e-3,4.280659140832725e-3,4.445996464975179e-3,4.0803691360618096e-4,2.887197706488057e-4,5.924412658698762e-4
"4",9.592464331164955e-3,9.565403822436926e-3,9.679663542285565e-3,2.2183987693007233e-4,7.982771631011423e-5,4.917410228621072e-4
"8",3.325049436427652e-2,3.3124969366565366e-2,3.342175758220255e-2,7.448925964192041e-4,5.822731966926635e-4,8.978350647076691e-4
"16",0.1296024373803288,0.12956151044704015,0.12966251886226235,2.5129015218638344e-4,1.8302174340136099e-4,3.647271057323824e-4
"32",0.5295439294610172,0.5295258597169072,0.5295803550515327,1.2613276570728433e-4,7.250387300357555e-5,1.9755548417113545e-4
"64",2.1917471722397948,2.191709056261554,2.191853487852588,2.9873137380195304e-4,1.265488488251747e-4,6.316014944670613e-4
"128",9.254734883669393,9.254695008162038,9.254803297880665,2.607108127214321e-4,1.709196260428912e-4,4.2457409003301586e-4
